group,scene,condition,method,seed,configured_budget_s,actual_duration_s,duration_status,reconstruction_frames,decision_captures,path_length_m,planning_wall_time_s,eval_views,n_severe,n_clean,psnr_shared,psnr_severe,psnr_clean,psnr_cube_provisional,recorded_psnr_shared,delta_from_recorded_db,scoring,historical_completeness_5cm,historical_ssim,historical_lpips
mesh,mp3d_17DRP5sb8fy,dyn,fisherrf,0,300,300.0,complete,301,81,143.77165151918175,1007.885870029917,39,19,20,18.770478434101328,16.918231325797304,20.53011318699015,,18.77047843664383,-2.5425030969472573e-09,export_reload_legacy_dc,0.8303868254772022,0.8137999543836579,0.37037995925698525
mesh,mp3d_17DRP5sb8fy,dyn,gavis,0,300,300.0,complete,301,74,141.8558740184005,1237.8462062589242,39,19,20,19.827945137911144,17.98598805914667,21.577804362737403,,19.827945126884874,1.1026269675085132e-08,export_reload_legacy_dc,0.6579996037075362,0.8207183544500134,0.3430178875151353
mesh,mp3d_17DRP5sb8fy,dyn,random,0,300,300.0,complete,301,426,73.56248195220705,0.025472967070527375,39,19,20,18.783065050688833,18.723683411502932,18.83947760791545,,18.78306504403752,6.651312389749364e-09,export_reload_legacy_dc,0.6441765451474617,0.7861913160020964,0.36371034135421115
mesh,skokloster_castle,d0,r3con-pano,0,300,300.0,complete,301,43,144.08007958544914,23.04460159112932,40,20,20,18.997456545466868,19.450203797661874,18.54470929327186,,18.997456711139836,-1.656729686771996e-07,export_reload_legacy_dc,0.7217051054713065,0.7291907038539648,0.3659364815801382
mesh,skokloster_castle,d0,magician,0,300,300.0,complete,301,113,123.10000000000008,415.80547966167796,40,20,20,25.170805845620627,26.838589647098605,23.503022044142632,,25.170805868666825,-2.3046197838993976e-08,export_reload_legacy_dc,0.7595528307480603,0.8600106447935104,0.21355828298255802
mesh,skokloster_castle,d0,fisherrf,0,300,300.0,complete,301,115,120.59183262461256,1588.5909871867043,40,20,20,27.076848642219357,28.628260544164068,25.525436740274635,,27.07684863681635,5.403006042570269e-09,export_reload_legacy_dc,0.8136524416052746,0.8820604726672172,0.16259944355115294
mesh,skokloster_castle,d0,random,0,300,300.0,complete,301,431,88.10001719962645,0.027430396003182977,40,20,20,20.048860621921655,21.40433691511257,18.693384328730744,,20.04886061840203,3.519623703596153e-09,export_reload_legacy_dc,0.5955851778925131,0.7659930512309074,0.3401654914021492
mesh,skokloster_castle,dyn,r3con-pano,0,300,300.0,complete,301,65,141.7652068934527,31.7282252869918,40,20,20,22.043758377195736,21.35278919960219,22.734727554789274,,22.043758408538288,-3.1342551665147766e-08,export_reload_legacy_dc,0.8473719343584925,0.8036360427737236,0.2829005876556039
mesh,skokloster_castle,dyn,magician,0,300,300.0,complete,301,107,123.00000000000004,402.1385721754632,40,20,20,24.472016283712257,24.599704637509422,24.34432792991509,,24.472016436808495,-1.5309623790926707e-07,export_reload_legacy_dc,0.7465276418170935,0.8557530865073204,0.22765122912824154
mesh,skokloster_castle,dyn,fisherrf,0,300,300.0,complete,301,111,109.72045431819619,1445.9226507288986,40,20,20,24.534348391214913,24.351438918390908,24.71725786403893,,24.534348321515964,6.969894883468442e-08,export_reload_legacy_dc,0.7907028996451659,0.8563916146755218,0.21598360212519765
